Town,Postcode
Grange Beg,R51
Grangeclare,R51
Greyabbey,R51
Guidenstown North,R51
Guidenstown South,R51
Harristown Lower,R51
Harristown Upper,R51
Keeloge,R51
Kilbern,R51
Kilboggan,R51
Kildare,R51
Kildoon,R51
Killinthomas,R51
Killmoney South,R51
Killyguire,R51
Kilmoney North,R51
Kilmoney South,R51
Kilnabooley,R51
Kilnagornan,R51
Kiltaghan North,R51
Kiltaghan South,R51
Kingsbog,R51
Knavinstown,R51
Knocknagalliagh,R51
Knockshough Glebe,R51
Kyle,R51
Lackagh Beg,R51
Lackaghmore,R51
Loughandys,R51
Loughlion,R51
Lullymore,R51
Lullymore East,R51
Lullymore West,R51
Maddenstown South,R51
Mooretown,R51
Mountprospect,R51
Mullantine,R51
Mylerstown,R51
Mynagh,R51
Newtown,R51
Nurney,R51
Nurney Demesne,R51
Nurneybog,R51
Oghill,R51
Punchersgrange,R51
Rahilla,R51
Rahilla Glebe,R51
Rathangan,R51
Rathbride,R51
Rathconnell,R51
Rathconnellwood,R51
Rathmuck,R51
Rathwalkin,R51
Redhills,R51
Ruanbeg Manor,R51
Shanacloon,R51
Sheean,R51
Shindala,R51
Silliothill,R51
Southgreen,R51
Tannery Wharf,R51
The Glebe,R51
Thomastown East,R51
Thomastown West,R51
Tully East,R51
Tully West,R51
Tullylost,R51
Yellow Lough,R51
Ballyfair,R56
Ballymany,R56
Ballysax,R56
Ballysax Great,R56
Ballysax Little,R56
Ballysaxplain,R56
Ballyshannon,R56
Ballyshannon Demesn,R56
Baronsland,R56
Blackrath,R56
Brownstown,R56
Brownstown Great,R56
Brownstown Little,R56
Brownstown Lower,R56
Brownstown Upper,R56
Calverstown,R56
Calverstown Demesne,R56
Carna,R56
Carnalway,R56
Castlefish,R56
Castlemartin,R56
Churchtown,R56
Crotanstown,R56
Curragh,R56
Curragh Camp,R56
Cut Bush,R56
Dalkinstown,R56
Gilltown,R56
Glebe South,R56
Gormanstown,R56
Grangemore,R56
Hacklow,R56
Halverstown,R56
Kennycourt,R56
Kilcullen,R56
Kilcullen Business,R56
Kilgowan,R56
Killinane,R56
Kineagh,R56
Kineagh Cross,R56
Knockaulin,R56
Knockbounce,R56
Logstown,R56
Loughbrown,R56
Lumville,R56
Maddenstown,R56
Maddenstown North,R56
Melon Hill,R56
Milemill,R56
Mooretown,R56
Moortowncastle,R56
New Abbey,R56
Newberry,R56
Nicholastown,R56
Old Kilcullen,R56
Pollardstown,R56
Rathbride,R56
Riverside Manor,R56
Silliothill,R56
Suncroft,R56
Sunnyhill,R56
Toberogan,R56
Yellowbogcommon,R56
Ballaghmoon,R93
Ballycullane,R93
Ballyhade,R93
Ballyraggan,R93
Blackcastle,R93
Broadstown,R93
Burtonhall Demesne,R93
Castleroe East,R93
Castleroe West,R93
Crooket,R93
Dunmanogue,R93
Gorteenvacan,R93
Gotham,R93
Hallahoise,R93
Jerusalem,R93
Johnstown North,R93
Johnstown South,R93
Knockbane,R93
Knockfield,R93
Knocknagee,R93
Knockroe,R93
Knockshannagh,R93
Levitstown,R93
Lisbush,R93
Maganey,R93
Maganey Lower,R93
Maganey Upper,R93
Monaclaudy,R93
Newtownallen,R93
Newtownpilsworth,R93
Prumplestown,R93
Athgarvan,W12
Athgarvan Cross,W12
Barnacrow,W12
Baronstown East,W12
Baronstown West,W12
Barrettstown,W12
Blackrath and Athga,W12
Blakestown,W12
Borahard,W12
Cannonstown,W12
Christianstown,W12
Clongorey,W12
Clongownagh,W12
Clownings,W12
College Farm,W12
Corbally,W12
Cornelscourt,W12
Crotanstown,W12
Curragh Edge,W12
Dowdingstown,W12
Greatconnell,W12
Hawkfield,W12
Herbertstown,W12
Hillsborough,W12
Kilbelin,W12
Ladytown,W12
Lewistown,W12
Littleconnell,W12
Milltown,W12
Moorefield,W12
Morristown Upper,W12
Morristownbiller,W12
Newbridge,W12
Newhall,W12
Oldconnell,W12
Oldtown,W12
Piercetown,W12
Punchersgrange,W12
Rathbride,W12
Rickardstown,W12
Roseberry,W12
Rosetown,W12
Scarletstown,W12
Tankardsgarden,W12
Alasty,W23
Allenswood,W23
Ardclough,W23
Ardrass Lower,W23
Ardrass Upper,W23
Backweston,W23
Backweston Park,W23
Ballybrack,W23
Ballycaghan,W23
Ballycanon,W23
Ballycurraghan,W23
Ballygoran,W23
Ballyhays,W23
Ballymakealy Upper,W23
Ballyoulster,W23
Balraheen,W23
Balscott,W23
Baltracey,W23
Banshee,W23
Barberstown,W23
Barberstown Lower,W23
Barberstown Upper,W23
Baronrath,W23
Barrogstown,W23
Barrogstown West,W23
Bawnogue,W23
Bawnogues,W23
Baybush,W23
Belgard,W23
Bishopscourt,W23
Blacklion,W23
Blakestown,W23
Boston,W23
Boycetown,W23
Branganstown,W23
Bryanstown,W23
Cappagh,W23
Carton Demesne,W23
Castledillon,W23
Castledillon Lower,W23
Castledillon Upper,W23
Castletown,W23
Castlewarden,W23
Catherinestown,W23
Celbridge,W23
Clonagh,W23
Clonaghlis,W23
Clonfert,W23
Clonfert North,W23
Clonfert South,W23
Clonsast,W23
Clownings,W23
Collinstown,W23
Collinstown Industr,W23
Commons Lower,W23
Commons South,W23
Commons Upper,W23
Commons West,W23
Coneyburrow,W23
Confey,W23
Cooldrinagh,W23
Cooldrinagh Cross,W23
Coolfitch,W23
Corbally,W23
Cormickstown,W23
Courtown Bridge,W23
Courtown Great,W23
Courtown Little,W23
Cowanstown,W23
Crewhill,W23
Crinstown,W23
Cross Keys,W23
Crowncourt,W23
Dangan,W23
Derrinstown,W23
Donaghstown,W23
Dowdstown,W23
Duncreevan,W23
Easton Meadows,W23
Elmhall,W23
Ferrans Lock,W23
Glebe,W23
Gragadder,W23
Graiguesallagh,W23
Grange,W23
Grangewilliam,W23
Greenfield,W23
Griffinrath,W23
Hazelhatch,W23
Hodgestown,W23
Irishtown Lower,W23
Johninstown,W23
Kealstown,W23
Kellystown,W23
Kilcock,W23
Killadoon,W23
Killeenlea,W23
Killeenmore,W23
Killeighter,W23
Killickaweeny,W23
Kilmacredock,W23
Kilmacredock Lower,W23
Kilmacredock Upper,W23
Ladycastle Upper,W23
Laragh,W23
Laragh Demesne,W23
Laraghbryan East,W23
Laraghbryan West,W23
Leixlip,W23
Lodgepark,W23
Longtown,W23
Loughlinstown,W23
Loughtown Lower,W23
Lyons Estate,W23
M4 Business Park,W23
M4 Interchange Busi,W23
Mariavilla,W23
Maws,W23
Maynooth,W23
Mooneycooley,W23
